learning_rate,weight_decay,dropout,momentum,accuracy,precision,sensitivity,specificity,MCC,AUC,Auc
0.001,0.01,0.2,0.5,0.765060241,0.798657718,0.71257485,0.818181818,0.53355229,0.765378334,0.841262929
0.001,0.01,0.2,0.5,0.771084337,0.835616438,0.701149425,0.848101266,0.552638172,0.774625346,0.837734614
0.001,0.01,0.2,0.5,0.75,0.762589928,0.679487179,0.8125,0.497721458,0.74599359,0.827760781
0.001,0.01,0.2,0.9,0.795180723,0.818181818,0.759036145,0.831325301,0.59191005,0.795180723,0.855857164
0.001,0.01,0.2,0.9,0.737951807,0.745762712,0.75862069,0.715189873,0.474302511,0.736905282,0.822639313
0.001,0.01,0.2,0.9,0.771084337,0.782608696,0.754491018,0.787878788,0.542606158,0.771184903,0.853638178
0.001,0.01,0.2,0.9,0.719879518,0.804511278,0.614942529,0.835443038,0.459023873,0.725192783,0.822384694
0.001,0.01,0.2,0.9,0.753012048,0.772058824,0.673076923,0.823863636,0.504342524,0.74847028,0.848666958
0.001,0.01,0.5,0.1,0.759036145,0.794520548,0.698795181,0.819277108,0.521873869,0.759036145,0.843046886
0.001,0.01,0.5,0.1,0.710843373,0.763513514,0.649425287,0.778481013,0.429944185,0.71395315,0.789938891
0.001,0.01,0.5,0.1,0.759036145,0.865546218,0.616766467,0.903030303,0.541964078,0.759898385,0.84819452
0.001,0.01,0.5,0.1,0.771084337,0.840277778,0.695402299,0.85443038,0.554081366,0.774916339,0.817947039
0.001,0.01,0.5,0.1,0.737951807,0.759398496,0.647435897,0.818181818,0.474237366,0.732808858,0.820767774
0.001,0.01,0.5,0.5,0.789156627,0.847826087,0.704819277,0.873493976,0.586719908,0.789156627,0.860393381
0.001,0.01,0.5,0.5,0.728915663,0.795774648,0.649425287,0.816455696,0.470280725,0.732940492,0.804852321
0.001,0.01,0.5,0.5,0.777108434,0.844444444,0.682634731,0.872727273,0.5652966,0.777681002,0.818980221
0.001,0.01,0.5,0.5,0.731927711,0.763975155,0.706896552,0.759493671,0.466059765,0.733195111,0.829332169
0.001,0.01,0.5,0.5,0.762048193,0.769230769,0.705128205,0.8125,0.521720191,0.758814103,0.828744172
0.001,0.01,0.5,0.9,0.801204819,0.842465753,0.740963855,0.861445783,0.60683008,0.801204819,0.866272318
0.001,0.01,0.5,0.9,0.719879518,0.768211921,0.666666667,0.778481013,0.44645688,0.72257384,0.826640477
0.001,0.01,0.5,0.9,0.777108434,0.816326531,0.718562874,0.836363636,0.558587418,0.777463255,0.85646888
0.001,0.01,0.5,0.9,0.762048193,0.806451613,0.718390805,0.810126582,0.529066136,0.764258693,0.844682089
0.001,0.01,0.5,0.9,0.75,0.77037037,0.666666667,0.823863636,0.498407395,0.745265152,0.839051573
0.001,0.01,0.8,0.1,0.795180723,0.860294118,0.704819277,0.885542169,0.600245048,0.795180723,0.832196255
0.001,0.01,0.8,0.1,0.710843373,0.814516129,0.58045977,0.85443038,0.448993681,0.717445075,0.787065328
0.001,0.01,0.8,0.1,0.734939759,0.862385321,0.562874251,0.909090909,0.502509722,0.73598258,0.811177645
0.001,0.01,0.8,0.1,0.756024096,0.839416058,0.66091954,0.860759494,0.52921112,0.760839517,0.828059072
0.001,0.01,0.8,0.1,0.753012048,0.784615385,0.653846154,0.840909091,0.505896505,0.747377622,0.79592803
0.001,0.01,0.8,0.5,0.765060241,0.81884058,0.680722892,0.84939759,0.537826583,0.765060241,0.852627377
0.001,0.01,0.8,0.5,0.71686747,0.756410256,0.67816092,0.759493671,0.43794142,0.718827295,0.800523789
0.001,0.01,0.8,0.5,0.740963855,0.852173913,0.586826347,0.896969697,0.508374471,0.741898022,0.817528579
